q_code,content
1,びくびくした
2,活気のある
3,おびえた
4,誇らしい
5,うろたえた
6,心配した
7,強気な
8,気合の入った
9,ぴりぴりした
10,きっぱりとした
11,苦悩した
12,わくわくした
13,機敏な
14,熱狂した
15,恥じた
16,いらだった
